student ID,FirstName,LastName,StartDate,standard ,PayZone,Student ClassificationType,TerminationDescription,DepartmentType,Division,DOB,State, Student FunctionDescription,GenderCode,LocationCode,RaceDesc,Performance Score,Current student Rating,,,,,,,
3427,Uriah,Bridges,20-Sep-19,10,Zone C,Full time,,General  ,Finance & Accounting,10/7/1969,MA,Accounting,Female,34904,White,Fully Meets,4,,,,,,,
3428,Paula,Small,11-Feb-23,10,Zone A,Full time,,General  ,Aerial,8/30/1965,MA,Labor,Male,6593,Hispanic,Fully Meets,3,,,,,,,
3429,Edward,Buck,10-Dec-18,10,Zone B,Full time,,General  ,General - Sga,10/6/1991,MA,Assistant,Male,2330,Hispanic,Fully Meets,4,,,,,,,
3430,Michael,Riordan,21-Jun-21,10,Zone A,Full time,,General  ,Finance & Accounting,4/4/1998,ND,Clerk,Male,58782,Other,Fully Meets,2,,,,,,,
3431,Jasmine,Onque,29-Jun-19,10,Zone A,Full time,,General  ,General - Con,8/29/1969,FL,Laborer,Female,33174,Other,Fully Meets,3,,,,,,,
3432,Maruk,Fraval,17-Jan-20,10,Zone B,Full time,,General  ,Field Operations,4/3/1949,CT,Driver,Male,6050,Black,Fully Meets,3,,,,,,,
3433,Latia,Costa,6-Apr-22,10,Zone B,Full time,Me see picture nature degree benefit.,General  ,General - Eng,7/1/1942,CA,Technician,Female,90007,Hispanic,Exceeds,4,,,,,,,
3434,Sharlene,Terry,6-Nov-20,10,Zone C,Full time,Blue community type skill story.,General  ,Engineers,3/7/1957,OR,Engineer,Female,97756,White,Fully Meets,2,,,,,,,
3435,Jac,McKinzie,18-Aug-18,10,Zone B,Full time,,General  ,Executive,5/15/1974,TX,Executive Assistant,Male,78789,Black,Exceeds,3,,,,,,,
3436,Joseph,Martins,21-Jan-22,10,Zone B,Full time,Summer personal bag.,General  ,Engineers,11/11/1949,TX,Engineer,Male,78207,Asian,Fully Meets,5,,,,,,,
3437,Myriam,Givens,4-Aug-23,10,Zone B,Full time,,General  ,Field Operations,1/26/1964,IN,Technician,Female,46204,Other,Fully Meets,5,,,,,,,
3438,Dheepa,Nguyen,10-Aug-18,10,Zone C,Full time,Alone once than. More condition pay far.,General  ,General - Con,4/6/1948,GA,Technician,Female,30428,Asian,Fully Meets,3,,,,,,,
3439,Bartholemew,Khemmich,25-May-22,10,Zone A,Full time,Foot in theory minute recognize test.,General  ,Splicing,11/24/1981,CO,Splicer,Male,80820,Other,Fully Meets,3,,,,,,,
3440,Xana,Potts,5-Dec-19,10,Zone A,Full time,Degree wish science when thing week old.,General  ,Finance & Accounting,11/6/1951,KY,Controller,Female,40220,White,Fully Meets,3,,,,,,,
3441,Prater,Jeremy,28-Apr-19,10,Zone A,Full time,,General  ,General - Con,11/21/1989,NV,Lineman,Male,89139,Asian,Exceeds,4,,,,,,,
3442,Kaylah,Moon,9-Jul-19,10,Zone A,Full time,Fear particular method stage.,General  ,Field Operations,11/24/1952,MA,Laborer,Male,2810,Black,Exceeds,2,,,,,,,
3443,Kristen,Tate,5-Apr-21,10,Zone C,Full time,Wall body wonder successful.,General  ,Project Management - Con,4/8/1994,KY,Coordinator,Male,2621,Asian,Fully Meets,3,,,,,,,
3444,Bobby,Rodgers,28-Nov-21,10,Zone A,Full time,Visit foot nearly radio treatment.,General  ,Engineers,11/15/1983,KY,Director,Male,44553,Other,Fully Meets,3,,,,,,,
3445,Reid,Park,16-Jan-21,10,Zone C,Full time,,General  ,Project Management - Con,12/7/1985,KY,Supervisor,Female,5360,Other,Exceeds,4,,,,,,,
3446,Hector,Dalton,24-Aug-21,10,Zone A,Full time,,General  ,Field Operations,5/1/1996,TX,Driller,Female,16325,White,Exceeds,2,,,,,,,
3447,Mariela,Schultz,26-May-20,10,Zone C,Full time,Unit pass office southern break one.,General  ,General - Con,2/17/1964,TX,Technician,Female,43481,Asian,Fully Meets,3,,,,,,,
3448,Angela,Molina,1-Oct-19,10,Zone A,Full time,List class mind.,General  ,Engineers,5/12/1958,TX,Specialist,Male,50705,Asian,Fully Meets,3,,,,,,,
3449,Gerald,Preston,10-May-23,10,Zone B,Full time,Price third parent evening.,General  ,General - Eng,9/18/1992,CO,Technician,Male,5168,Black,Fully Meets,5,,,,,,,
3450,Reilly,Moyer,1-Sep-20,10,Zone C,Full time,Cause military a sense. Doctor property may.,General  ,Field Operations,8/11/1994,CO,,Male,11765,Other,Exceeds,2,,,,,,,
3451,Carlee,French,18-Feb-21,10,Zone C,Full time,Station another son positive.,General  ,General - Con,1/15/1968,CO,Technician,Male,71071,Other,Exceeds,3,,,,,,,
3452,Jaydon,Blackburn,8-Nov-22,10,Zone A,Full time,,General  ,General - Con,1/7/1947,IN,Foreman,Male,12122,Black,Fully Meets,2,,,,,,,
3453,Bridger,Carter,13-Oct-22,10,Zone C,Full time,,General  ,Fielders,4/7/1982,MA,Engineer,Male,87065,White,Fully Meets,4,,,,,,,
3454,Leon,Beard,11-Sep-22,10,Zone C,Full time,,General  ,General - Con,1/29/1970,KY,Foreman,Male,10415,Hispanic,Needs Improvement,4,,,,,,,
3455,Charity,Miranda,29-Jun-21,10,Zone C,Full time,Pm local take example fund. Small heavy listen.,General  ,Project Management - Eng,1/18/1999,KY,Manager,Male,3763,Other,Exceeds,4,,,,,,,
3456,Axel,Howe,6-Mar-23,10,Zone A,Full time,,General  ,Field Operations,9/25/1946,KY,Technician,Female,79623,Black,Fully Meets,3,,,,,,,
3457,Milton,Wall,25-Sep-20,10,Zone B,Full time,,General  ,Engineers,8/23/1947,KY,Technician,Female,69189,White,Needs Improvement,3,,,,,,,
3458,Cory,Robinson,28-Apr-22,10,Zone A,Full time,Several young whether that expert.,General  ,Field Operations,8/12/1996,TX,Laborer,Female,5194,Hispanic,Needs Improvement,3,,,,,,,
3459,Saniya,Yu,18-Apr-21,10,Zone A,Full time,Science end approach democratic treatment.,General  ,General - Con,2/9/1944,TX,Splicer,Male,8779,Black,Exceeds,2,,,,,,,
3460,Alisa,James,19-Feb-20,10,Zone A,Full time,,General  ,Aerial,2/10/1944,TX,Lineman,Male,74682,Asian,Fully Meets,3,,,,,,,
3461,Lincoln,Compton,18-Jul-19,10,Zone C,Full time,Base scene central unit per argue. Might last of.,General  ,General - Con,12/29/1997,CO,Foreman,Male,78046,Hispanic,Needs Improvement,1,,,,,,,
3462,Aliana,Nolan,13-Sep-18,10,Zone A,Full time,Yourself book budget product.,General  ,Field Operations,8/9/1942,CO,Coordinator,Male,27270,Hispanic,Needs Improvement,3,,,,,,,
3463,Kayden,Dodson,30-Apr-20,10,Zone A,Full time,Paper can score else investment.,General  ,Field Operations,6/21/1951,IN,Tower Hand,Male,12703,Hispanic,Fully Meets,1,,,,,,,
3464,James,Duke,3-Dec-18,10,Zone B,Full time,Stuff different color how.,General  ,Shop (Fleet),6/17/1998,MA,Mechanic,Male,66835,Black,Needs Improvement,5,,,,,,,
3465,Willow,Stuart,8-Nov-21,10,Zone B,Full time,,General  ,General - Con,1/7/1962,MA,Flagger,Male,66150,Asian,Needs Improvement,3,,,,,,,
3466,Clayton,Walker,13-Apr-22,10,Zone C,Full time,Sign figure employee card education.,General  ,Aerial,1/26/1979,KY,Supervisor,Male,64288,Other,Exceeds,4,,,,,,,
3467,Celia,Curtis,6-May-20,10,Zone A,Full time,,General  ,Fielders,5/14/1987,KY,Engineer,Female,94333,Asian,Exceeds,1,,,,,,,
3468,Valentin,Reilly,9-Sep-19,10,Zone B,Full time,,General  ,Wireline Construction,4/26/1998,KY,Foreman,Female,45453,Black,Fully Meets,4,,,,,,,
3469,Ryland,Shepherd,29-Jul-20,10,Zone B,Full time,Right cut matter arrive difference.,General  ,Field Operations,2/21/1945,TX,Driver,Female,81905,Asian,Needs Improvement,3,,,,,,,
3470,Esteban,Gilbert,14-Nov-18,10,Zone C,Full time,Speak professor statement result.,General  ,Field Operations,5/31/1997,TX,Technician,Female,12491,Black,Needs Improvement,3,,,,,,,
3471,Jonathan,Adkins,29-Feb-20,10,Zone C,Full time,,General  ,Field Operations,1/3/1967,TX,Foreman,Male,64350,Asian,Fully Meets,4,,,,,,,
3472,Nevaeh,Soto,15-Jan-23,10,Zone C,Full time,,General  ,Project Management - Con,1/12/1982,TX,Director,Male,74124,Other,Exceeds,4,,,,,,,
3473,Chaim,Mata,29-Jun-23,10,Zone A,Full time,,General  ,Shop (Fleet),10/1/1950,CO,Manager,Male,33379,Hispanic,Exceeds,2,,,,,,,
3474,Arely,Patton,9-Mar-20,10,Zone A,Full time,,General  ,Catv,12/16/1965,CO,Laborer,Male,34481,Other,Fully Meets,2,,,,,,,
3475,Vance,Trujillo,21-Sep-21,10,Zone C,Full time,Expert challenge education air none money wide.,General  ,General - Con,12/25/1957,IN,Foreman,Male,90406,Asian,Fully Meets,2,,,,,,,
3476,Charlie,Koch,12-Jun-23,10,Zone A,Full time,Buy become improve guess business know.,General  ,Fielders,6/20/1945,MA,Engineer,Male,95774,Asian,Needs Improvement,2,,,,,,,
3477,Sonny,Horne,7-Apr-19,10,Zone A,Full time,,General  ,Aerial,12/3/1969,KY,Laborer,Female,16058,Asian,Needs Improvement,2,,,,,,,
3478,Thomas,Chandler,17-Sep-18,10,Zone C,Full time,Read family dark scene scene guess.,General  ,Wireline Construction,10/10/1957,KY,Groundman,Female,45149,Hispanic,Fully Meets,2,,,,,,,
3479,Sarai,Stone,2-Aug-22,10,Zone A,Full time,Somebody great could yet.,General  ,Project Management - Con,5/17/1962,TX,Technician,Female,96336,Hispanic,Fully Meets,2,,,,,,,
